sentence,annotation
Austin asserts that vaccines are a valid and necessary medical requirement to protect service members and their families and ensure the combat readiness of the force.,<Source:Named:null>Austin</Source:Named:null> asserts that <Fact_Appeal:Indirect_Quote>vaccines are a valid and necessary medical requirement to protect service members and their families and ensure the combat readiness of the force.</Fact_Appeal:Indirect_Quote>
Houston is the fourth-largest city in the US where about 6.6m people live in the metropolitan area.,<Fact_No_Appeal>Houston is the fourth-largest city in the US where about 6.6m people live in the metropolitan area.</Fact_No_Appeal>
"It tells you something about his commitment to community and to people,"" Ryan explained.","It tells you something about his commitment to community and to people,"" Ryan explained."
"And Olivia Arnold  the brains behind Foodistagirl , her self-described ""Insta-blog"" with over 68,000 followers – gushes when it comes to these types of photos.","<Fact_No_Appeal>And Olivia Arnold  the brains behind Foodistagirl , her self-described ""Insta-blog"" with over 68,000 followers – gushes when it comes to these types of photos.</Fact_No_Appeal>"
1 seed from the East.,<Fact_No_Appeal>1 seed from the East.</Fact_No_Appeal>
Many of the rural states are starting to experience cold weather that is driving people indoors and creating ripe conditions for more virus spread.,<Fact_No_Appeal>Many of the rural states are starting to experience cold weather that is driving people indoors and creating ripe conditions for more virus spread.</Fact_No_Appeal>
"His daughter's innocence combined with the words of that song just might reach someone who needs it, he thought.","His daughter's innocence combined with the words of that song just might reach someone who needs it, he thought."
The U.S. far surpasses other countries in the number of total cases with more than 18.8 million infections as of Saturday.,<Fact_No_Appeal>The U.S. far surpasses other countries in the number of total cases with more than 18.8 million infections as of Saturday.</Fact_No_Appeal>
"The Scottish Retail Consortium's monthly monitor, published today shows that the value of sales last month was down by 3.6 per cent on the same month of 2019.","<Source:Named:Expert_Document>The Scottish Retail Consortium</Source:Named:Expert_Document>'s <Source_Attribute>monthly monitor</Source_Attribute>, <Appeal_Time>published today</Appeal_Time> shows <Fact_Appeal:Indirect_Quote>that the value of sales last month was down by 3.6 per cent on the same month of 2019.</Fact_Appeal:Indirect_Quote>"
"Did you enjoy content from David Cay Johnston, Common Dreams, Raw Story and Robert Reich?","Did you enjoy content from David Cay Johnston, Common Dreams, Raw Story and Robert Reich?"
"However, a video that emerged on social media a few days later appeared to show the German partying in a Monte Carlo nightclub.","However, <Source:Unnamed:Direct_Evidence>a video</Source:Unnamed:Direct_Evidence> that emerged <Appeal_Location>on social media</Appeal_Location> <Appeal_Time>a few days later</Appeal_Time> appeared to show <Fact_Appeal:Indirect_Quote>the German partying in a Monte Carlo nightclub.</Fact_Appeal:Indirect_Quote>"
He said the utility is focusing on keeping flow to Memphis hospitals and fire stations as it deals with main breaks.,<Source:Unnamed:null>He</Source:Unnamed:null> said <Fact_Appeal:Indirect_Quote>the utility is focusing on keeping flow to Memphis hospitals and fire stations as it deals with main breaks.</Fact_Appeal:Indirect_Quote>
"The retirement of the antiquated Predator drone MQ-1, which is to be withdrawn from service in July and replaced by the more capable MQ-9 Reaper, is giving military analysts an opportunity to review the mixed history of a weapon that has long been associated with low-cost war, a sense of disembodiment from conflict, and for inflicting a high number of civilian casualties.","<Fact_No_Appeal>The retirement of the antiquated Predator drone MQ-1, which is to be withdrawn from service in July and replaced by the more capable MQ-9 Reaper, is giving military analysts an opportunity to review the mixed history of a weapon that has long been associated with low-cost war, a sense of disembodiment from conflict, and for inflicting a high number of civilian casualties.</Fact_No_Appeal>"
"According to Mr. Deng, plainclothes police officers took him away on April 6, two days after his exhibition opened.","According to <Source:Named:Active_Participant>Mr. Deng</Source:Named:Active_Participant>, <Fact_Appeal:Indirect_Quote>plainclothes police officers took him away on April 6, two days after his exhibition opened.</Fact_Appeal:Indirect_Quote>"
Both face 12 months of probation.,<Fact_No_Appeal>Both face 12 months of probation.</Fact_No_Appeal>
"Since 2005, he has concentrated on a single pair of great horned owls that live in Forest Park, but he says there is at least one other pair that lives in the park, as well as multiple pairs of barred owls.","Since 2005, he has concentrated on a single pair of great horned owls that live in Forest Park, but he says there is at least one other pair that lives in the park, as well as multiple pairs of barred owls."
There will be Covid tests.,<Fact_No_Appeal>There will be Covid tests.</Fact_No_Appeal>
The country's transport minister told Reuters it would be in return for Tesla making its vehicles there.,<Source:Unnamed:Official>The country's transport minister</Source:Unnamed:Official> told <Recipient>Reuters</Recipient> <Fact_Appeal:Indirect_Quote>it would be in return for Tesla making its vehicles there.</Fact_Appeal:Indirect_Quote>
"She currently leads the Biden-Harris transition's defense agency review team, and is the senior vice president and director of the international security program at the Center for Strategic and International Studies.","<Fact_No_Appeal>She currently leads the Biden-Harris transition's defense agency review team, and is the senior vice president and director of the international security program at the Center for Strategic and International Studies.</Fact_No_Appeal>"
America's schools today are already about as authoritarian as they come.,<Fact_No_Appeal>America's schools today are already about as authoritarian as they come.</Fact_No_Appeal>
Admission to the concert was made free for members of the Charlottesville and University of Virginia communities through an online request process.,Admission to the concert was made free for members of the Charlottesville and University of Virginia communities through an online request process.
"As law enforcement battles the trade, increasingly organized traffickers nimbly shift their supply routes of poached or stolen horn.","<Fact_No_Appeal>As law enforcement battles the trade, increasingly organized traffickers nimbly shift their supply routes of poached or stolen horn.</Fact_No_Appeal>"
"If they are short on capital, they think creatively about how to achieve the same results for less money, or work to reach milestones that will earn them more funding.","<Fact_No_Appeal>If they are short on capital, they think creatively about how to achieve the same results for less money, or work to reach milestones that will earn them more funding.</Fact_No_Appeal>"
Hartford had the unfortunate task of drawing No. 1 seed Baylor in the opening round.,<Fact_No_Appeal>Hartford had the unfortunate task of drawing No. 1 seed Baylor in the opening round.</Fact_No_Appeal>
"The Navy dismissed what was one a promising lead -- that satellite phone calls recorded near the vessel Saturday were from San Juan, as Argentine officials had claimed, according to the New York Times","<Fact_Appeal:Indirect_Quote>The Navy dismissed what was one a promising lead -- that satellite phone calls recorded near the vessel Saturday were from San Juan, as <Source:Unnamed:Official>Argentine officials</Source:Unnamed:Official> had claimed,</Fact_Appeal:Indirect_Quote> according to <Source:Named:News_Report>the New York Times</Source:Named:News_Report>"
"Officials in Puerto Rico and the U.S. Virgin Islands had prepared for a natural disaster before the arrival of Hurricane Maria, but ""neither had recently experienced nor stockpiled the resources necessary for a hurricane of that magnitude,"" the report states.","<Fact_Appeal:Direct_Quote>Officials in Puerto Rico and the U.S. Virgin Islands had prepared for a natural disaster before the arrival of Hurricane Maria, but ""neither had recently experienced nor stockpiled the resources necessary for a hurricane of that magnitude,""</Fact_Appeal:Direct_Quote> <Source:Unnamed:Expert_Document>the report</Source:Unnamed:Expert_Document> states."
"""We need to take a little bit of ownership with this whole opioid epidemic and say, 'what can we do?"" said Dr. Charles Hannon of the orthopedic surgery department at Rush who helped design a new approach to using fewer opioids among knee and hip replacement patients.","""We need to take a little bit of ownership with this whole opioid epidemic and say, 'what can we do?"" said Dr. Charles Hannon of the orthopedic surgery department at Rush who helped design a new approach to using fewer opioids among knee and hip replacement patients."
Gillibrand has won headlines with her action that could be useful if she chooses to run for president in 2020 against what could be a crowded field.,<Fact_No_Appeal>Gillibrand has won headlines with her action that could be useful if she chooses to run for president in 2020 against what could be a crowded field.</Fact_No_Appeal>
President Joe Biden campaigned on pledges to end new drilling on public lands.,<Fact_No_Appeal>President Joe Biden campaigned on pledges to end new drilling on public lands.</Fact_No_Appeal>
"O'Connor and Cohen agree that it will take time for the industry to adjust, and that isn't happening anytime soon.","<Source:Named:null>O'Connor and Cohen</Source:Named:null> agree that <Fact_Appeal:Indirect_Quote>it will take time for the industry to adjust, and that isn't happening anytime soon.</Fact_Appeal:Indirect_Quote>"
"Police held him at the Lebanon Municipal Jail and later transported him to Lynn County Jail on charges of unlawful use of a weapon, menacing and disorderly conduct.","<Fact_No_Appeal>Police held him at the Lebanon Municipal Jail and later transported him to Lynn County Jail on charges of unlawful use of a weapon, menacing and disorderly conduct.</Fact_No_Appeal>"
Another 'oh no' moment shows a woman hanging her laundry out to dry at the same time her neighbor turned on their sprinkler to water the garden.,<Fact_No_Appeal>Another 'oh no' moment shows a woman hanging her laundry out to dry at the same time her neighbor turned on their sprinkler to water the garden.</Fact_No_Appeal>
"We want to solve this problem, we want to solve family separation, I don't want children taken away from parents,"" Trump said.","We want to solve this problem, we want to solve family separation, I don't want children taken away from parents,"" Trump said."
Multiple guests on the Sunday morning political talk shows discussed the deadly tornadoes and severe storms swept across states in the Midwest and southern parts of the U.S. Friday night into Saturday morning.,<Source:Unnamed:null>Multiple guests</Source:Unnamed:null> on the <Appeal_Time>Sunday</Appeal_Time> <Appeal_Location>morning political talk shows</Appeal_Location> discussed <Fact_Appeal:Indirect_Quote>the deadly tornadoes and severe storms swept across states in the Midwest and southern parts of the U.S. Friday night into Saturday morning.</Fact_Appeal:Indirect_Quote>
"$505,000, 10 Lawnfair St, Almonte Ramos Properties, to Granados, Andres M. $402,000, 28 Walworth St, Dejesus, Melitza, to Delamarre, Michael F, and Delamarre, Sara P. $395,000, 166 Moreland St, Kiash LLC, to Jean, Jesula, and Jean, Edrrys.","<Fact_No_Appeal>$505,000, 10 Lawnfair St, Almonte Ramos Properties, to Granados, Andres M. $402,000, 28 Walworth St, Dejesus, Melitza, to Delamarre, Michael F, and Delamarre, Sara P. $395,000, 166 Moreland St, Kiash LLC, to Jean, Jesula, and Jean, Edrrys.</Fact_No_Appeal>"
"The deal reflects the growing popularity of using SPACs, or special-purpose acquisition companies, to list promising startups without the hurdles of an initial public offering.","<Fact_No_Appeal>The deal reflects the growing popularity of using SPACs, or special-purpose acquisition companies, to list promising startups without the hurdles of an initial public offering.</Fact_No_Appeal>"
"Keep the focus on positive things like effort and improvement, which kids can control, rather than on any suspected natural talent, which they can't control.","Keep the focus on positive things like effort and improvement, which kids can control, rather than on any suspected natural talent, which they can't control."
"The Lunar New Year begins at the new moon , which typically falls between late January and mid-February.","<Fact_No_Appeal>The Lunar New Year begins at the new moon , which typically falls between late January and mid-February.</Fact_No_Appeal>"
Trump said he sent federal agents to Portland to halt the unrest but state and local officials say they are making the situation worse.,<Source:Named:Official>Trump</Source:Named:Official> said <Fact_Appeal:Indirect_Quote>he sent federal agents to Portland to halt the unrest</Fact_Appeal:Indirect_Quote> but <Source:Unnamed:Official>state and local officials</Source:Unnamed:Official> say <Fact_Appeal:Indirect_Quote>they are making the situation worse.</Fact_Appeal:Indirect_Quote>
"""They are treating her as best as they can with all kind of aggressive measures that the hospital can do for her, but it's grim and we want prayers to go up for her.","<Fact_Appeal:Direct_Quote>""They are treating her as best as they can with all kind of aggressive measures that the hospital can do for her, but it's grim and we want prayers to go up for her.</Fact_Appeal:Direct_Quote>"
Thorpe gazed in disbelief at the carrier's bottom as he clung to the side of a raft.,<Fact_No_Appeal>Thorpe gazed in disbelief at the carrier's bottom as he clung to the side of a raft.</Fact_No_Appeal>
"Alex Castillo carried a red bedroll slung over his shoulder as he walked away from the Tijuana shelter Monday, saying he would head to the industrial city of Monterrey to look for work and try to cross into the United States next year.","<Fact_No_Appeal>Alex Castillo carried a red bedroll slung over his shoulder as he walked away from the Tijuana shelter Monday, saying he would head to the industrial city of Monterrey to look for work and try to cross into the United States next year.</Fact_No_Appeal>"
"""They're pathological liars,"" he continued in pivoting to the Democratic response to the president's address.","<Fact_Appeal:Direct_Quote>""They're pathological liars,""</Fact_Appeal:Direct_Quote> <Source:Unnamed:null>he</Source:Unnamed:null> continued in pivoting to the Democratic response to the president's address."
Ninety percent of other reefs in the area are dead.,<Fact_No_Appeal>Ninety percent of other reefs in the area are dead.</Fact_No_Appeal>
How much has your daily routine returned to normal since getting vaccinated?,How much has your daily routine returned to normal since getting vaccinated?
"""In my view, you are taking people who are enslaved from a horrific addiction, and freeing people from horrific enslavement.","<Fact_No_Appeal>""In my view, you are taking people who are enslaved from a horrific addiction, and freeing people from horrific enslavement.</Fact_No_Appeal>"
"Some groups within the NSA have lost almost half of their staffs, one former official said.","<Fact_Appeal:Indirect_Quote>Some groups within the NSA have lost almost half of their staffs,</Fact_Appeal:Indirect_Quote> <Source:Unnamed:Official>one former official</Source:Unnamed:Official> said."
"""We expect our large vaccination clinics will be just one part of the overall effort,"" said Mayor, John Tory speaking at a COVID-19 update from city hall on Wednesday","<Fact_Appeal:Direct_Quote>""We expect our large vaccination clinics will be just one part of the overall effort,""</Fact_Appeal:Direct_Quote> said <Source_Attribute>Mayor</Source_Attribute>, <Source:Named:Official>John Tory</Source:Named:Official> speaking at a COVID-19 update from <Appeal_Location>city hall</Appeal_Location> on <Appeal_Time>Wednesday</Appeal_Time>"
Very much in the news this week has been President Donald Trump's tweets over the weekend about Barack Obama wiretapping Trump Tower.,<Fact_No_Appeal>Very much in the news this week has been President Donald Trump's tweets over the weekend about Barack Obama wiretapping Trump Tower.</Fact_No_Appeal>
"Hundreds of perfect, 5-star reviews seem to echo the same message: These are the best sheets ever and, well, they rock.","<Source:Unnamed:Direct_Evidence>Hundreds of perfect, 5-star reviews</Source:Unnamed:Direct_Evidence> seem to echo the same message: <Fact_Appeal:Indirect_Quote>These are the best sheets ever and, well, they rock.</Fact_Appeal:Indirect_Quote>"
"While European feminists celebrate abortions, Mohammad has seven Aisha's to impregnate.","<Fact_No_Appeal>While European feminists celebrate abortions, Mohammad has seven Aisha's to impregnate.</Fact_No_Appeal>"
"More than 200 confirmed cases of the omicron variant, first identified in Southern Africa, have been reported in over a dozen countries around the world, according to an open-source tracker run by Newsnodes and BNO News","<Fact_Appeal:Indirect_Quote>More than 200 confirmed cases of the omicron variant, first identified in Southern Africa, have been reported in over a dozen countries around the world,</Fact_Appeal:Indirect_Quote> according to <Source:Named:Expert_Document>an open-source tracker run by Newsnodes and BNO News</Source:Named:Expert_Document>"
"""It really just gave this amazing boost to our life,"" she told CNN. Erasing debt has become a popular way to give back. In the past few years, crowdfunding past-due medical bills has become an increasingly popular way for individuals, charities, religious groups and other organizations to give back to communities. Many campaigns started after someone saw an article about others who raised money to wipe out medical debt.","""It really just gave this amazing boost to our life,"" she told CNN. Erasing debt has become a popular way to give back. In the past few years, crowdfunding past-due medical bills has become an increasingly popular way for individuals, charities, religious groups and other organizations to give back to communities. Many campaigns started after someone saw an article about others who raised money to wipe out medical debt."
"The New York attorney general, Eric T. Schneiderman said on Thursday night that the coalition of states ""stands ready to sue"" if Mr. Trump cut off the subsidies.","<Source_Attribute>The New York attorney general</Source_Attribute>, <Source:Named:Official>Eric T. Schneiderman</Source:Named:Official> said <Appeal_Time>on Thursday night</Appeal_Time> that <Fact_Appeal:Direct_Quote>the coalition of states ""stands ready to sue"" if Mr. Trump cut off the subsidies.</Fact_Appeal:Direct_Quote>"
"""Quite a lot of them have failed to take anti-infection measures during work, such as not wearing a mask during activities, not keeping a social distance with each other and gathering with a large group of people,"" he said.","<Fact_Appeal:Direct_Quote>""Quite a lot of them have failed to take anti-infection measures during work, such as not wearing a mask during activities, not keeping a social distance with each other and gathering with a large group of people,""</Fact_Appeal:Direct_Quote> <Source:Unnamed:null>he</Source:Unnamed:null> said."
"But she knows that not everyone is as lucky, and that the constant stream of letters pouring into people's mailboxes can take a toll. So she started a campaign in November 2019 to pay off the unpaid medical bills for people in New York state and Chicago, both places she had ties to.","<Fact_No_Appeal>But she knows that not everyone is as lucky, and that the constant stream of letters pouring into people's mailboxes can take a toll. So she started a campaign in November 2019 to pay off the unpaid medical bills for people in New York state and Chicago, both places she had ties to.</Fact_No_Appeal>"
Home tests will miss some infections and in rare cases mistakenly indicate an infection.,<Fact_No_Appeal>Home tests will miss some infections and in rare cases mistakenly indicate an infection.</Fact_No_Appeal>
"Due to antioxidant effects, Tannin also finds use in wine processing.","<Fact_No_Appeal>Due to antioxidant effects, Tannin also finds use in wine processing.</Fact_No_Appeal>"
"Considering malls and gyms are up and running and theatres too might begin screening shows soon, Bengalureans were hoping their favourite hill station would open too.","<Fact_No_Appeal>Considering malls and gyms are up and running and theatres too might begin screening shows soon, Bengalureans were hoping their favourite hill station would open too.</Fact_No_Appeal>"
"By retweeting O'Reilly's self-promotional tweet, Trump condoned a man who has made a habit of mistreating women.","<Fact_No_Appeal>By retweeting O'Reilly's self-promotional tweet, Trump condoned a man who has made a habit of mistreating women.</Fact_No_Appeal>"
"At his request no services will be held, Chris Tritico said.","<Fact_Appeal:Indirect_Quote>At his request no services will be held,</Fact_Appeal:Indirect_Quote> <Source:Named:null>Chris Tritico</Source:Named:null> said."
"In a first for the company, the top floor is dedicated to Nike Plus members.","<Fact_No_Appeal>In a first for the company, the top floor is dedicated to Nike Plus members.</Fact_No_Appeal>"
"Clark County Sheriff Joseph Lombardo said the attack Sunday night was meticulously planned, and he couldn't rule out that Paddock had help.","<Source:Named:Official>Clark County Sheriff Joseph Lombardo</Source:Named:Official> said <Fact_Appeal:Indirect_Quote>the attack Sunday night was meticulously planned, and he couldn't rule out that Paddock had help.</Fact_Appeal:Indirect_Quote>"
"""It's tragic, but that's the way it is,"" says Schieb.","""It's tragic, but that's the way it is,"" says Schieb."
"According to a UNC spokesperson, there have been about 30 U.S. colleges and universities, mostly private, that have reportedly announced COVID vaccination requirements.","According to a <Source:Named:Official>UNC spokesperson</Source:Named:Official>, <Fact_Appeal:Indirect_Quote>there have been about 30 U.S. colleges and universities, mostly private, that have reportedly announced COVID vaccination requirements.</Fact_Appeal:Indirect_Quote>"
"Ah yes, the Brisbane Metro , another infrastructure project that, despite its name, has nothing to do with trains.","<Fact_No_Appeal>Ah yes, the Brisbane Metro , another infrastructure project that, despite its name, has nothing to do with trains.</Fact_No_Appeal>"
And wouldn't you know--the biggest sales are happening right now.,And wouldn't you know--<Fact_No_Appeal>the biggest sales are happening right now</Fact_No_Appeal>.
"Police know from experience that people who use vehicles in a crime often report that the vehicles were stolen at a time before the crime occurred, the affidavit said.","<Source:Unnamed:Official>Police</Source:Unnamed:Official> know from experience that <Fact_Appeal:Indirect_Quote>people who use vehicles in a crime often report that the vehicles were stolen at a time before the crime occurred,</Fact_Appeal:Indirect_Quote> the <Source:Unnamed:Expert_Document>affidavit</Source:Unnamed:Expert_Document> said."
"Those members were seeking a temporary restraining order, and got it in May.","<Fact_No_Appeal>Those members were seeking a temporary restraining order, and got it in May.</Fact_No_Appeal>"
"It directs the Department of Justice's (DOJ's) Bureau of Justice Assistance (BJA) to award competitive grants to health care, law enforcement, or public safety agencies, and nonprofit organizations, to develop or operate locally based proactive programs to prevent wandering and locate missing individuals with dementia or children with developmental disabilities.","<Fact_No_Appeal>It directs the Department of Justice's (DOJ's) Bureau of Justice Assistance (BJA) to award competitive grants to health care, law enforcement, or public safety agencies, and nonprofit organizations, to develop or operate locally based proactive programs to prevent wandering and locate missing individuals with dementia or children with developmental disabilities.</Fact_No_Appeal>"
People without homes have been grappling with an onslaught of disasters this year.,<Fact_No_Appeal>People without homes have been grappling with an onslaught of disasters this year.</Fact_No_Appeal>
"Deals on lingerie & comfort wear such as bras , shapewear , nightdresses , pyjamas , and shawls .","<Fact_No_Appeal>Deals on lingerie & comfort wear such as bras , shapewear , nightdresses , pyjamas , and shawls .</Fact_No_Appeal>"
"DETROIT, MI - One of the greatest singing voices in the history of music needs your well wishes.","<Fact_No_Appeal>DETROIT, MI - One of the greatest singing voices in the history of music needs your well wishes.</Fact_No_Appeal>"
"""I think we're all walking off a plank a little bit into the unknown,"" Hazen said.","<Fact_No_Appeal>""I think we're all walking off a plank a little bit into the unknown,""</Fact_No_Appeal> Hazen said."
"They were first spotted eating seals in 2006, which researchers initially assumed was an opportunistic last resort for the lions, whose usual dinners of ostriches and oryx were off the menu.","<Fact_No_Appeal>They were first spotted eating seals in 2006, which researchers initially assumed was an opportunistic last resort for the lions, whose usual dinners of ostriches and oryx were off the menu.</Fact_No_Appeal>"
"While he was alive, he didn't always get the respect he deserved -- people frequently made fun of his name by mimicking sneezes while he walked by.","<Fact_No_Appeal>While he was alive, he didn't always get the respect he deserved -- people frequently made fun of his name by mimicking sneezes while he walked by.</Fact_No_Appeal>"
"RossellÛ was charitable toward Trump in the aftermath of the storm, saying he was ""very grateful"" to the administration for its assistance, and that Trump had been ""very attentive to the situation.""","<Fact_No_Appeal>RossellÛ was charitable toward Trump in the aftermath of the storm, saying he was ""very grateful"" to the administration for its assistance, and that Trump had been ""very attentive to the situation.""</Fact_No_Appeal>"
Jesus martyred himself.,<Fact_No_Appeal>Jesus martyred himself.</Fact_No_Appeal>
Fireball booms over US: 'Most amazing fireball I have ever seen' Scrubbed for the day.,Fireball booms over US: 'Most amazing fireball I have ever seen' Scrubbed for the day.
"According to KTRK, Daniel said the staff at the hospital prepared the family for the worst, but he knew his wife was going to survive.","According to <Source:Named:News_Report>KTRK</Source:Named:News_Report>, <Source:Named:Active_Participant>Daniel</Source:Named:Active_Participant> said <Fact_Appeal:Indirect_Quote>the staff at the hospital prepared the family for the worst, but he knew his wife was going to survive.</Fact_Appeal:Indirect_Quote>"
"Tokyo-based SoftBank Group Corp. reported a 761.5 billion yen ($6.9 billion) profit for April-June on Tuesday, down from 1.26 trillion yen the previous year.","<Source:Named:Active_Participant>Tokyo-based SoftBank Group Corp.</Source:Named:Active_Participant> reported <Fact_Appeal:Indirect_Quote>a 761.5 billion yen ($6.9 billion) profit for April-June on Tuesday, down from 1.26 trillion yen the previous year.</Fact_Appeal:Indirect_Quote>"
"As with breaking a quarantine, if you come home from one of these countries that is quarantined, it is a criminal offence, it goes on your criminal record.","<Fact_No_Appeal>As with breaking a quarantine, if you come home from one of these countries that is quarantined, it is a criminal offence, it goes on your criminal record.</Fact_No_Appeal>"
This measure includes the Cash Cost per ton and capital sustaining costs less concentrate stock movement divided by tons of payable tin sold.,<Fact_No_Appeal>This measure includes the Cash Cost per ton and capital sustaining costs less concentrate stock movement divided by tons of payable tin sold.</Fact_No_Appeal>
"The timetable would allow the state to plan for a loss in cigarette tax revenue, according to reports.","<Fact_Appeal:Indirect_Quote>The timetable would allow the state to plan for a loss in cigarette tax revenue,</Fact_Appeal:Indirect_Quote> according to <Source:Unnamed:null>reports.</Source:Unnamed:null>"
There are kiosks with hanger deposits and shopping bags.,<Fact_No_Appeal>There are kiosks with hanger deposits and shopping bags.</Fact_No_Appeal>
"Then it works with third-party credit data providers and looks through bundled debt portfolios to locate the accounts of people who meet its criteria for relief. The organization says it seeks to relieve medical debt for those most in need, meaning people who:Earn less than two times the federal poverty level Have debt that is 5% or more of their annual incomeFace insolvency, meaning their debts are greater than their assets Many of those portfolios have passed through several collection agencies already, and debt buyers know that it could take them months or years to collect on them.","<Fact_No_Appeal>Then it works with third-party credit data providers and looks through bundled debt portfolios to locate the accounts of people who meet its criteria for relief.</Fact_No_Appeal> <Source:Unnamed:Active_Participant>The organization</Source:Unnamed:Active_Participant> says <Fact_Appeal:Indirect_Quote>it seeks to relieve medical debt for those most in need, meaning people who:Earn less than two times the federal poverty level Have debt that is 5% or more of their annual incomeFace insolvency, meaning their debts are greater than their assets</Fact_Appeal:Indirect_Quote> <Fact_No_Appeal>Many of those portfolios have passed through several collection agencies already,</Fact_No_Appeal> and <Source:Unnamed:Active_Participant>debt buyers</Source:Unnamed:Active_Participant> know that <Fact_Appeal:Indirect_Quote>it could take them months or years to collect on them.</Fact_Appeal:Indirect_Quote>"
"Partly due to price increases for all types of medical film to tackle the higher silver prices, the revenue for this business was up both versus the second quarter of 2020 and the first quarter of 2021.","<Fact_No_Appeal>Partly due to price increases for all types of medical film to tackle the higher silver prices, the revenue for this business was up both versus the second quarter of 2020 and the first quarter of 2021.</Fact_No_Appeal>"
"""The American experiment is working and it is here to stay,"" Icher said.","<Fact_Appeal:Direct_Quote>""The American experiment is working and it is here to stay,""</Fact_Appeal:Direct_Quote> <Source:Named:null>Icher</Source:Named:null> said."
"""But this movement for accountability will ring hollow if it doesn't apply to the most powerful and public sexual harasser in America -- the president.","""But this movement for accountability will ring hollow if it doesn't apply to the most powerful and public sexual harasser in America -- the president."
The latter effort is seeing some results.,<Fact_No_Appeal>The latter effort is seeing some results.</Fact_No_Appeal>
The trade deficit widened to EUR 186 million in March from EUR 152 million in the same month last year.,<Fact_No_Appeal>The trade deficit widened to EUR 186 million in March from EUR 152 million in the same month last year.</Fact_No_Appeal>
"Skip was a hippie with long hair, a mustache and a Jeep.","<Fact_No_Appeal>Skip was a hippie with long hair, a mustache and a Jeep.</Fact_No_Appeal>"
"The clearly distressed man exhibited severe signs of mental distress and was unable to be booked, so he was placed in a holding cell.","<Fact_No_Appeal>The clearly distressed man exhibited severe signs of mental distress and was unable to be booked, so he was placed in a holding cell.</Fact_No_Appeal>"
"Trump may be surprised to learn that for a change, deepening the nation's racial wounds is not an effective political strategy.","Trump may be surprised to learn that for a change, deepening the nation's racial wounds is not an effective political strategy."
"""Medical debt is something most can relate toFor activist Mariame Kaba, the issue of medical debt is personal.Kaba is the director and founder of Project NIA, an advocacy organization dedicated to ending youth incarceration.A few years before the Affordable Care Act passed, she said she was denied health insurance.","""Medical debt is something most can relate toFor activist Mariame Kaba, the issue of medical debt is personal.Kaba is the director and founder of Project NIA, an advocacy organization dedicated to ending youth incarceration.A few years before the Affordable Care Act passed, she said she was denied health insurance."
The team collectively designs and conducts clinical trials and translational research.,<Fact_No_Appeal>The team collectively designs and conducts clinical trials and translational research.</Fact_No_Appeal>
"But Trump has made comments far more often, varying on whether he thinks the dollar should be stronger or weaker.","<Fact_No_Appeal>But Trump has made comments far more often, varying on whether he thinks the dollar should be stronger or weaker.</Fact_No_Appeal>"
"Harry will reportedly be donating the proceeds from the memoir to charity, however, it's currently not known exactly which one.","<Fact_No_Appeal>Harry will reportedly be donating the proceeds from the memoir to charity, however, it's currently not known exactly which one.</Fact_No_Appeal>"
State park outdoor pools across New York were permitted to reopen for swimming the weekend of July 4.,<Fact_No_Appeal>State park outdoor pools across New York were permitted to reopen for swimming the weekend of July 4.</Fact_No_Appeal>
The President concluded the approximate 32-minute news conference by slamming the Dems.,<Fact_No_Appeal>The President concluded the approximate 32-minute news conference by slamming the Dems.</Fact_No_Appeal>
"With 381,000 students, Chicago Public Schools would become the first large urban district to implement such a requirement, according to city officials.","<Fact_Appeal:Indirect_Quote>With 381,000 students, Chicago Public Schools would become the first large urban district to implement such a requirement,</Fact_Appeal:Indirect_Quote> according to <Source:Unnamed:Official>city officials</Source:Unnamed:Official>."
"Tim Heaphy, a former U.S. attorney who conducted an independent review of the Charlottesville protest said Metro was doing ""the right thing"" by trying to keep the white nationalist groups separate from any counterprotesters.","<Source:Named:Expert>Tim Heaphy</Source:Named:Expert>, <Source_Attribute>a former U.S. attorney who conducted an independent review of the Charlottesville protest</Source_Attribute> said <Fact_Appeal:Direct_Quote>Metro was doing ""the right thing"" by trying to keep the white nationalist groups separate from any counterprotesters.</Fact_Appeal:Direct_Quote>"
"A Raptor turbopump spin start valve didn't open, triggering an automatic abort.","<Fact_No_Appeal>A Raptor turbopump spin start valve didn't open, triggering an automatic abort.</Fact_No_Appeal>"
Now I'm trying to find the people who need help.,Now I'm trying to find the people who need help.
It doesn't help in the fight against the Islamic State.,<Fact_No_Appeal>It doesn't help in the fight against the Islamic State.</Fact_No_Appeal>
Watkins was hospitalized with facial injuries and a lost tooth.,<Fact_No_Appeal>Watkins was hospitalized with facial injuries and a lost tooth.</Fact_No_Appeal>
This photo was taken on a Sunday morning during a cold winter morning.,<Fact_No_Appeal>This photo was taken on a Sunday morning during a cold winter morning.</Fact_No_Appeal>
"The long-awaited report has roiled the debate over the GOP's bid to overhaul the healthcare system, which would include repealing many elements of the Affordable Care Act and creating a new tax credit to help people buy insurance.","<Fact_No_Appeal>The long-awaited report has roiled the debate over the GOP's bid to overhaul the healthcare system, which would include repealing many elements of the Affordable Care Act and creating a new tax credit to help people buy insurance.</Fact_No_Appeal>"
